STAT,182,2017 SPRING,3.52
STAT,211,2018 FALL,2.919,,,,,,,,,,,,,,,,,,,3.264,3.027,3.056,2.964,3.25,3.305,2.4,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2019 SPRING,2.839,,,,,,,,,,,,,,,,,,3.236,3.44,2.99,3.259,,,3.117,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2019 SUMMER,2.918,,,,,,,,,,,,,,2.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2019 FALL,2.895,,,,,,,,,,,,,,,3.159,,,,,2.979,3.327,2.84,,3.034,2.667,2.957,3,,,,,,,,,,,,,,,,,,,,
STAT,211,2020 SPRING,3.063,,,,,,,,,,,,,,,,,,,,,,,,,,,2.981,2.93,3.241,3.34,,,,,,,,,,,,,,,,,
STAT,211,2020 SUMMER,3.171,,,,,,,,,,,,,,3.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2020 FALL,3.096,,,,,,,,,,,,,,,,,,,,3.079,,3.226,,,,,,,,,3.589,3.809,3.458,3.51,3.849,,,,,,,,,,,,
STAT,211,2021 SPRING,2.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.811,,,3.598,,,3.536,,,,,,,,,,,,,
STAT,211,2021 SUMMER,2.918,,,,,,,,,,,,,,3.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2021 FALL,3.009,,,,,,,,,,,3.226,,,,,,,,,,,,,,,,,2.78,,,,,,3.742,,3.638,3.146,3.336,2.828,2.8,,,,,,,
STAT,211,2022 SPRING,2.882,,,,,,,,,,,,,,,,,,,,,,2.982,,,,,,2.863,,,,,,3.668,,,2.976,,3,,,,,,,,
STAT,211,2022 SUMMER,3.179,,,,,,,,,,,,,,2.767,,,,,,,,,,,,,,,,,,,,,,,3.605,,,,,,,,,,
STAT,211,2022 FALL,2.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.789,,,3.417,3.745,2.988,,3.36,3.325,3.011,2.75,,,
STAT,211,2023 SPRING,2.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.896,,,,,,3.786,,,2.915,4,,,3.429,,,,,,
STAT,211,2023 SUMMER,2.978,,,,,,,,,,,,,,3.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2023 FALL,2.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.972,,,,,,3.804,3.362,,3.4,,,,3.942,3.305,,,,,
STAT,211,2024 SPRING,2.817,,,,,,,,,,,3.323,,,,,,,,,,,,,,,,,3.068,,,,,,3.687,,,3.226,,,,3.727,,,,3.838,,
STAT,211,2024 SUMMER,2.649,,,,,,,,,,,,,,2.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2024 FALL,3.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.402,,,,,,3.87,2.969,,3.567,3.927,,,,,,,,3.239,
STAT,211,2025 SPRING,3.004,,,,,,,,,,,3.422,,,,,,,,,,,,,,,,,3.437,,,,,,3.311,3.371,,2.971,,,,,,,,,,
STAT,211,2025 SUMMER,3.178,,,,,,,,,,,,,,3.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.667
STAT,211,Year,Semester,Prof,GPA,Section,A,B,C,D,F,I,Q,S,U,X
STAT,211,2025,SUMMER,HATFIELD L (H),3.099,299,27,27,15,1,1,0,3,0,0,0
STAT,211,2025,SUMMER,HATFIELD L,3.178,199,39,30,20,0,1,0,0,0,0,0
STAT,211,2025,SUMMER,AGHZAWI K,3.667,100,19,2,3,0,0,0,1,0,0,0
STAT,211,2025,SPRING,CRAWFORD S,3.186,599,39,38,19,1,0,0,3,0,0,0
STAT,211,2025,SPRING,CRAWFORD S,3.441,511,55,28,7,2,1,0,2,0,0,0
STAT,211,2025,SPRING,HATFIELD L,3.088,510,32,41,15,0,3,0,3,0,0,0
STAT,211,2025,SPRING,HOMRIGHAUSEN D,3.500,508,62,38,8,0,0,0,2,0,0,0
STAT,211,2025,SPRING,GHOSH P,3.327,507,51,42,12,2,0,0,2,0,0,0
STAT,211,2025,SPRING,DAO T,2.971,506,26,53,20,3,1,0,6,0,0,0
STAT,211,2025,SPRING,ZHANG X,3.422,505,62,33,12,2,0,0,1,0,0,0
STAT,211,2025,SPRING,GHOSH P,3.415,504,63,26,15,2,0,0,3,0,0,0
STAT,211,2025,SPRING,HATFIELD L,3.109,503,34,48,16,2,1,0,9,0,0,0
STAT,211,2025,SPRING,HOMRIGHAUSEN D,3.371,502,56,35,11,3,0,0,5,0,0,0
STAT,211,2025,SPRING,HATFIELD L,2.763,501,17,32,22,2,3,0,6,0,0,0
STAT,211,2024,FALL,GHOSH P,2.969,599,74,60,40,11,6,0,21,0,0,0
STAT,211,2024,FALL,DAO T,3.567,513,62,30,4,0,1,0,0,0,0,0
STAT,211,2024,FALL,HATFIELD L,3.570,512,72,36,5,1,0,0,1,0,0,0
STAT,211,2024,FALL,HATFIELD L,3.491,511,70,36,8,1,1,0,0,0,0,0
STAT,211,2024,FALL,CRAWFORD S,3.870,510,102,11,2,0,0,0,0,0,0,0
STAT,211,2024,FALL,HATFIELD L,3.759,508,43,10,0,1,0,0,2,0,0,0
STAT,211,2024,FALL,YI S,3.217,507,32,21,15,1,0,0,27,0,0,0
STAT,211,2024,FALL,HOMRIGHAUSEN D,3.460,506,65,38,7,3,0,0,2,0,0,0
STAT,211,2024,FALL,HOMRIGHAUSEN D,3.342,505,58,40,8,3,2,0,4,0,0,0
STAT,211,2024,FALL,GUHANIYOGI R,3.927,504,90,5,1,0,0,0,0,0,0,1
STAT,211,2024,FALL,YI S,3.261,503,28,31,10,0,0,0,28,0,0,0
STAT,211,2024,FALL,YI S,3.239,502,30,29,11,1,0,0,25,0,0,0
STAT,211,2024,SUMMER,HATFIELD L (H),2.848,299,22,31,20,4,2,0,6,0,0,0
STAT,211,2024,SUMMER,HATFIELD L,2.649,199,20,40,22,5,7,0,2,0,0,0
STAT,211,2024,SPRING,CRAWFORD S,3.650,599,73,22,2,3,0,0,0,0,0,0
STAT,211,2024,SPRING,CRAWFORD S,3.724,511,77,16,4,1,0,0,2,0,0,0
STAT,211,2024,SPRING,HATFIELD L,2.800,510,23,31,24,5,2,1,14,0,0,0
STAT,211,2024,SPRING,HOMRIGHAUSEN D,3.068,509,16,31,12,0,0,0,1,0,0,0
STAT,211,2024,SPRING,ROITERCHTEIN A,3.731,508,82,23,3,0,0,0,2,0,0,0
